cd_ncm_prod_serv,ds_ncm_01,ds_ncm_02,ds_ncm_03,ds_ncm_04,ds_ncm_05,cd_ean_prod_serv,ds_prod_serv
04012010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %","Com um teor, em peso, de matérias gordas, superior a 1 %, mas não superior a 6 %","Leite UHT (Ultra High Temperature)",7898080640611,"&LTE UHT INT ITAL TP"
04015021,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 10 %","Com um teor, em peso, de matérias gordas, superior a 10 %","UHT (Ultra High Temperature)",7891000126905,"CREM LT NEST 200G UN"
04015029,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 10 %","Com um teor, em peso, de matérias gordas, superior a 10 %",Outros,7891000120101,"C LEITE NESTLE 30 UN"
04015029,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 10 %","Com um teor, em peso, de matérias gordas, superior a 10 %",Outros,7891000120101,"C LEITE NESTLE 30 UN"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN"
04029900,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.",Outros:,Outros,Outros,7891000094792,"LEITE MOCA 395G UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923919,"IOG VER CAMP 140ML UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923650,"IOG VD CAMPO MO500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891999003072,"IOG VIGOR GREG 100 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923650,"IOG VD CAMPO MO500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923919,"IOG VER CAMP 140ML UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923650,"IOG VD CAMPO MO500 UN"
04051000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Manteiga e outras matérias gordas provenientes do leite; pasta de espalhar (barrar) de produtos provenientes do leite.",Manteiga,Manteiga,Manteiga,7896260700230,"&MANTEIGA ITACOLOMY"
04051000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Manteiga e outras matérias gordas provenientes do leite; pasta de espalhar (barrar) de produtos provenientes do leite.",Manteiga,Manteiga,Manteiga,7897318572816,"MANT DAVACA 500G UN"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,7898130990550,"QJ MOZZ BOM DEST KG"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUSSA MP FAT KG"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","&QJ MUSS INTERFOLIADA"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","ROLINHO DE QUEIJO"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","&MUSSARELA LANCHE"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUS DAVAC FAT KG"
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,"SEM GTIN","BORDA REQUEIJAO GD"
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,7896353300897,"&REQUEIJAO TRADIC"
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,7896353300897,"&REQUEIJAO TRADIC"
04061090,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Outros,7896353300897,"&REQUEIJAO TRADIC"
