cd_ncm_prod_serv,ds_ncm_01,ds_ncm_02,ds_ncm_03,ds_ncm_04,ds_ncm_05,cd_ean_prod_serv,ds_prod_serv,cnpj,cd_prod_serv,estabelecimento
04015021,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 10 %","Com um teor, em peso, de matérias gordas, superior a 10 %","UHT (Ultra High Temperature)",7891000126905,"CREM LT NEST 200G UN",39346861007840,109955700,"CENCOSUD BRASIL COMERCIAL LTDA"
04015029,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 10 %","Com um teor, em peso, de matérias gordas, superior a 10 %",Outros,7891000120101,"C LEITE NESTLE 30 UN",39346861007840,109948100,"CENCOSUD BRASIL COMERCIAL LTDA"
04015029,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), não concentrados nem adicionados de açúcar ou de outros edulcorantes.","Com um teor, em peso, de matérias gordas, superior a 10 %","Com um teor, em peso, de matérias gordas, superior a 10 %",Outros,7891000120101,"C LEITE NESTLE 30 UN",39346861007840,109948100,"CENCOSUD BRASIL COMERCIAL LTDA"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN",39346861007840,110815300,"CENCOSUD BRASIL COMERCIAL LTDA"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN",39346861007840,110815300,"CENCOSUD BRASIL COMERCIAL LTDA"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN",39346861007840,110815300,"CENCOSUD BRASIL COMERCIAL LTDA"
04022110,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.","Em pó, grânulos ou outras formas sólidas, com um teor, em peso, de matérias gordas, superior a 1,5 %:","Sem adição de açúcar ou de outros edulcorantes","Leite integral",7891000070765,"LEITE NINHO 800G UN",39346861007840,110815300,"CENCOSUD BRASIL COMERCIAL LTDA"
04029900,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leite e creme de leite (nata*), concentrados ou adicionados de açúcar ou de outros edulcorantes.",Outros:,Outros,Outros,7891000094792,"LEITE MOCA 395G UN",39346861007840,109951800,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN",39346861007840,144963200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN",39346861007840,144963200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN",39346861007840,144963200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN",39346861007840,144963200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923919,"IOG VER CAMP 140ML UN",39346861007840,158755400,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923650,"IOG VD CAMPO MO500 UN",39346861007840,144963100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923919,"IOG VER CAMP 140ML UN",39346861007840,158755400,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN",39346861007840,144963200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891999003072,"IOG VIGOR GREG 100 UN",39346861007840,143759200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923650,"IOG VD CAMPO MO500 UN",39346861007840,144963100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923643,"IOG V CAMPO NAT500 UN",39346861007840,144963200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101161,"IOG DAN LIQ VIT170 UN",39346861007840,161126200,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7898205923650,"IOG VD CAMPO MO500 UN",39346861007840,144963100,"CENCOSUD BRASIL COMERCIAL LTDA"
04031000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Leitelho, leite e creme de leite (nata*) coalhados, iogurte, quefir e outros leites e cremes de leite (natas*) fermentados ou acidificados, mesmo concentrados ou adicionados de açúcar ou de outros edulcorantes, ou aromatizados ou adicionados de fruta ou de cacau.",Iogurte,Iogurte,Iogurte,7891025101376,"IOG DAN LIQ MOR170 UN",39346861007840,161126100,"CENCOSUD BRASIL COMERCIAL LTDA"
04051000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Manteiga e outras matérias gordas provenientes do leite; pasta de espalhar (barrar) de produtos provenientes do leite.",Manteiga,Manteiga,Manteiga,7897318572816,"MANT DAVACA 500G UN",39346861007840,112922300,"CENCOSUD BRASIL COMERCIAL LTDA"
04051000,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Manteiga e outras matérias gordas provenientes do leite; pasta de espalhar (barrar) de produtos provenientes do leite.",Manteiga,Manteiga,Manteiga,7896260700230,"&MANTEIGA ITACOLOMY",00063960004864,00980001614,"WMB SUPERMERCADOS DO BRASIL LTDA."
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","ROLINHO DE QUEIJO",13408943000108,1,"CMP ALIMENTOS EIRELI"
04061010,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos.","Queijos e requeijão.","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão","Queijos frescos (não curados), incluindo o queijo de soro de leite, e o requeijão",Mozarela,"SEM GTIN","QUEJ MUSSA MP FAT KG",39346861007840,119652702,"CENCOSUD BRASIL COMERCIAL LTDA"
