ds_produto,gtin,entrada,saida,saldo
"MAC.FORTALEZA SEM.500G PARAF.",7891152223149,1,0,1
"Macarão Buzio Fortaleza 500G",7891152223101,1,0,1
"MANT ITACOLOMY 500G C SAL",7896260700230,3,1,2
"MANTEIGA COM SAL AVIAÇÃO POTE 500G",7896331100327,0,1,-1
"MANTEIGA DAVACA POTE",7897318572816,3,0,3
"Manteiga de Primeira Qualidade Tina & Rolf 500G",7896704801349,0,1,-1
"MILHO PARA PIPOCA TIPO 1 YOKI PREMIUM PACOTE 500G",7891095006984,14,5,9
"MINI BAGUETE 940G",7891737050689,3,0,3
"MINI BISCOITO DE ARROZ INTEGRAL CAMIL",7896006779674,3,0,3
"MINI PAO FRANC 1.9KG",7891737013493,1,0,1
"MIST BOLO VITAMILHO CHO400GR",7898366930108,0,1,-1
"MOLHO DE TOMATE BOLOGNESE BARILLA VIDRO 400G",8076809513661,3,0,3
"Molho de Tomate Napoletana 400g ",8076809513692,2,0,2
"MOLHO SHOYU SAKURA TRADICIONAL",7896007811007,1,0,1
"NACTALI 75MG 28COMP",7896094208117,1,0,1
"Néctar (polpa) de tangerina de baixa caloria 100g",7898130777137,0,7,-7
"NEEDS SORO 500mL",7896830001484,1,0,1
"NINHO FORTIFICADO SACHÊ",7891000070765,4,0,4
"NOVALGINA 500 MG 30 COMPRIMIDOS SANOFI",7891058008635,1,0,1
"NUGGETS SADIA CROCANTE",7893000949270,1,1,0
"ÓLEO DE SOJA SOYA GARRAFA 900ML",7891107101621,1,0,1
"OLIMPO AGUA SANITARIA 1LT",7896013100461,5,0,5
"OVO CAIPIRA GDE",7897284450255,1,0,1
"OVOS CAIP VERM C/10",7898913513068,2,0,2
"OVOS COD PZ 30UN UN",7899778900567,1,0,1
"OVOS GALINHA OMEGA UN",7897284460001,6,0,6
"PAO DE QUEIJO FORNO DE MINAS 1KG GOURMET",7896074603451,2,0,2
"PAO DE QUEIJO FORNO MINAS 500GR TRADICIONAL ASSADO",7896074603161,1,1,0
"PÃO DE QUEIJO RECHEADO TRADICIONAL CATUPIRY PACOTE 1KG",7896353300255,5,1,4
"PAO FORM LIM 350G UN",7898253589471,1,0,1
"PAPEL MANTEIGA PRASTY PAPER",7896300500219,1,0,1
"PASSA FIO 10M PERLEX",7891128102003,1,0,1
"PH FD MIRAFIORI",7896075301066,1,0,1
"PICANHA BOV RESF MATURATTA",7898302291898,0,1,-1
"PIMENTAO VERDE KG KG",4000306001028,0.2199999988079071,0,0.2199999988079071
"POLPA TANGER 10X100G",7898130772132,4,0,4
"QJ MOZZ BOM DEST KG",7898130990550,0.25200000405311584,0,0.25200000405311584
"QJO NAT COALH KG KG",7898134890412,0.49000000953674316,0,0.49000000953674316
"QUEIJO MOZZ DE BUFALA LANCHE BOM DESTINO",7898130990123,0,1,-1
"QUEIJO PARMESÃO CILINDRO FAIXA AZUL 195G",7891999014092,3,1,2
REDOXON,7891106006279,1,0,1
"REFR H2O LIMONETO",7892840812850,29,27,2
"REFRIGERANTE DE LIMÃO 500ML H2OH!",7892840812423,7,9,-2
"REFRIGERANTE SEM AÇÚCAR COCA",7894900700398,1,0,1
"REQUEIJÃO CREMOSO TRADICIONAL CATUPIRY POTE 500G",7896353300897,5,0,5
"SAB PO OMO BAG UN",7891150064560,2,1,1
"SABONETE LIQ PROTECL ANTI SEPTICO ERVA DOCE 1000ML",7898100035687,2,0,2
"SAL MARINHO YOKI MAIS VITA PACOTE 1KG",7891095600847,3,0,3
"SUCO CASA DE MADEIRA 1L UVA",7898070110841,1,0,1
"SUCO INTEGRAL UVA TINTO AURORA GARRAFA 1,5L",7891141019838,1,0,1
"SUCO INTEGRAL UVA TINTO CASA DE BENTO 1L",7891141023910,6,1,5
"TALHARIM MASSAS DE",7896193800403,1,0,1
"TOMATE KG KG",4000181001021,4.189999938011169,0,4.189999938011169
"TRANSAMIN 250 MG 12 COMPRIMIDOS ZYDUS NIKKHO",7897460400357,1,0,1
"VITAMILHO FLOCAO",7898366930023,6,2,4
"VITER C EFERV 1GR 10COMP",7899470800240,2,0,2
